INDUS,NOX,RM,AGE,DIS,TAX,PTRATIO,LSTAT,MEDV
18.1,0.718,8.78,82.9,1.9047,666.0,20.2,5.29,21.9
19.58,0.871,6.122,97.3,1.618,403.0,14.7,14.1,21.5
2.93,0.401,6.8,9.9,6.2196,265.0,15.6,5.03,31.1
18.1,0.693,5.747,98.9,1.6334,666.0,20.2,19.92,8.5
5.19,0.515,6.316,38.1,6.4584,224.0,20.2,5.68,22.2
1.22,0.403,7.249,21.9,8.6966,226.0,17.9,4.81,35.4
10.59,0.489,6.326,52.5,4.3549,277.0,18.6,10.97,24.4
2.95,0.428,6.595,21.8,5.4011,252.0,18.3,4.32,30.8
4.49,0.449,6.63,56.1,4.4377,247.0,18.5,6.53,26.6
15.04,0.464,6.211,28.9,3.6659,270.0,18.2,6.21,25.0
5.19,0.515,5.985,45.4,4.8122,224.0,20.2,9.74,19.0
8.56,0.52,6.167,90.0,2.421,384.0,20.9,12.33,20.1
9.9,0.544,6.122,52.8,2.6403,304.0,18.4,5.98,22.1
19.58,0.871,5.597,94.9,1.5257,403.0,14.7,21.45,15.4
5.96,0.499,5.966,30.2,3.8473,279.0,19.2,10.13,24.7
11.93,0.573,6.976,91.0,2.1675,273.0,21.0,5.64,23.9
